id,code,description,city,city_eng,street,area,zip,building,latitude,longitude
21844,WRO07W,"Na terenie Osiedla, przy klatce numer 9",Wrocław,wroclaw,Pionierów,dolnośląskie,52-112,9,51.06723,17.08081
21845,WRO08A,Stacja paliw BP,Wrocław,wroclaw,Grabiszyńska,dolnośląskie,53-501,266,51.0939,16.979
21846,WRO08APP,Z prawej strony posesji,Wrocław,wroclaw,Ukraińska,dolnośląskie,54-401,8,51.111821933,16.962951435
21847,WRO08HP,W sklepie Duży Ben,Wrocław,wroclaw,Wojaczka,dolnośląskie,51-169,1/1B,51.14625,17.072378
21848,WRO08L,Przy siedziebie wspólnoty,Wrocław,wroclaw,Krynicka,dolnośląskie,50-555,4,51.08221,17.04642
21849,WRO08N,"Przy sklepie Stokrotka, przodem do parkingu.",Wrocław,wroclaw,Sielska,dolnośląskie,54-144,3,51.14021,16.96273
21850,WRO08W,Market Dino,Wrocław,wroclaw,Księgarska,dolnośląskie,51-180,2,51.17461,17.02228
21851,WRO09A,Przy galerii wnętrz DOMAR,Wrocław,wroclaw,Braniborska,dolnośląskie,53-680,14,51.11017,17.01523
21852,WRO09B,Przy osiedlowym sklepie Żabka,Wrocław,wroclaw,Okulickiego,dolnośląskie,51-212,19,51.16267,17.12523
21853,WRO09H,W lokalu,Wrocław,wroclaw,Orzechowa,dolnośląskie,50-540,108,51.07863,17.0451
21854,WRO09M,Na parkingu przy biurowcu,Wrocław,wroclaw,Strachocińska,dolnośląskie,51-511,53,51.10914,17.13844
21855,WRO09N,Przy Aptece Lege Artis,Wrocław,wroclaw,Grota-Roweckiego,dolnośląskie,52-232,76,51.06235,17.03271
21856,WRO09W,Przy wyjściu na podwórze,Wrocław,wroclaw,Bieńkowskiego,dolnośląskie,54-115,22,51.13485,16.92427
21857,WRO100M,Na osiedlu,Wrocław,wroclaw,Wielka,dolnośląskie,53-338,59,51.09161,17.02448
21858,WRO101M,Od ulicy Rękodzielniczej,Wrocław,wroclaw,Górnicza,dolnośląskie,54-150,48,51.1364,16.95729
21859,WRO103M,Przy parkingu obok Żabki.,Wrocław,wroclaw,Czekoladowa,dolnośląskie,52-326,58A,51.0594,16.974
